CONTAINERNUMBER,ADDRESS,LATITUDE,LONGITUDE,FRACTION,COUNTER,FILLHEIGHT,DATE,TEMPERATURE
'2429','Sanz terrasse','58.8545350','5.7515433','Restavfall','135','874','23.04.2019','21'
'2444','Sanz terrasse','58.8545350','5.7515433','Restavfall','84','745','23.04.2019','21'
'2431','Sanz terrasse','58.8545350','5.7515433','Papir','29','1026','23.04.2019','21'
'2426','Sanz terrasse','58.8545350','5.7515433','Papir','23','1360','23.04.2019','21'
'3508','Sanz terrasse','58.8545350','5.7515433','Bio','234','2223','04.04.2019','17'
'2466','Sanz terrasse','58.8545350','5.7515433','Glass/metall','122','2235','23.04.2019','63'
'1551','Saxemarka - 1','58.9496975','5.7212049','Papir','33','2223','22.04.2019','27'
'3200','Saxemarka 1','58.9496975','5.7212049','Restavfall','340','1177','23.04.2019',' '
'3090','Saxemarka 1','58.9496975','5.7212049','Bio','60','1748','11.04.2019','15'
'2780','Saxemarka 4','58.9482949','5.7196636','Restavfall','65','2046','23.04.2019','29'
'2792','Saxemarka 4','58.9482949','5.7196636','Papir','22','1417','23.04.2019','23'
'2782','Saxemarka 4','58.9482949','5.7196636','Bio','60','1760','23.04.2019','21'
'2417','Saxemarka 5','58.9488350','5.7188933','Restavfall','109','1274','23.04.2019','19'
'2469','Saxemarka 5','58.9488350','5.7188933','Papir','27','1407','23.04.2019','21'
'3215','Saxemarka 5','58.9488350','5.7188933','Bio','75','2051','23.04.2019','21'
'1029','Saxemarka 6','58.9493256','5.7178235','Papir','39','0','23.04.2019','17'
'1037','Saxemarka 6','58.9493256','5.7178235','Bio','78','0','23.04.2019','17'
'1682','Saxemarka 6','58.9493256','5.7178235','Restavfall','219','980','23.04.2019','19'
'2109','Saxemarka II og III','58.9488683','5.7206617','Restavfall','174','1230','23.04.2019','23'
'2111','Saxemarka II og III','58.9488683','5.7206617','Papir','45','1495','23.04.2019','1'
'2218','Saxemarka II og III','58.9488683','5.7206617','Bio','109','2223','11.04.2019','1'
'946','Saxemarka VII','58.9475012','5.7191597','Papir','25','0','23.04.2019','17'
'165','Saxemarka VII','58.9475012','5.7191597','Restavfall','137','835','23.04.2019','17'
'1996','Saxemarka VII','58.9475012','5.7191597','Bio','97','2223','11.04.2019','1'
'1356','Seaview - 1','58.9171750','5.7306333','Restavfall','170','1021','23.04.2019','1'
'3108','Seaview - 1','58.9171750','5.7306333','Papir','41','1732','23.04.2019','21'
'2016','Seaview - 1','58.9171750','5.7306333','Bio','50','2223','23.04.2019','1'
'2182','Seaview - 2','58.9176600','5.7333417','Restavfall','115','1227','22.04.2019','23'
'2198','Seaview - 2','58.9176600','5.7333417','Papir','38','1792','23.04.2019','23'
'2195','Seaview - 2','58.9176600','5.7333417','Bio','22','2223','17.04.2019','1'
'1479','Seljehagen','58.8934364','5.7260766','Bio','0','2266','17.04.2019','29'
'2433','Seljehagen','58.8934364','5.7260766','Papir','0','2223','18.04.2019','15'
'1523','Seljehagen','58.8934364','5.7260766','Restavfall','0','1343','23.04.2019',' '
'752','Sentrum Randaberg','58.9984600','5.6190233','Glass/metall','0','1514','23.04.2019','17'
'572','Sentrum Randaberg','58.9984600','5.6190233','Plast','0','1413','23.04.2019','15'
'3052','Sentrum Randaberg','58.9984600','5.6190233','Plast','0','2046','23.04.2019','15'
'1443','Sentrumsgaten Ålgård','58.7698300','5.8473950','Restavfall','148','1607','23.04.2019','21'
'3163','Sentrumsgaten Ålgård','58.7698300','5.8473950','Restavfall','163','1642','23.04.2019','21'
'2273','Sentrumsgaten Ålgård','58.7698300','5.8473950','Glass/metall','58','1387','17.04.2019','21'
'3666','Sentrumsgaten Ålgård','58.7698300','5.8473950','Bio','54','706','18.04.2019',' '
'3702','Sentrumsgaten Ålgård','58.7698300','5.8473950','Papir','85','60','23.04.2019','3'
'1971','Sentrumsgården - Varhaug','58.6173325','5.6465216','Restavfall','89','1999','23.04.2019','1'
'1101','Sentrumsgården - Varhaug','58.6173325','5.6465216','Bio','164','2043','23.04.2019','19'
'1963','Sentrumsgården - Varhaug','58.6173325','5.6465216','Glass/metall','69','0','23.04.2019','19'
'2000','Sentrumsgården Varhaug','58.6173325','5.6465216','Papir','144','1934','23.04.2019','1'
'1333','Sentrumsgården-Klepp','58.7753029','5.6288814','Papir','44','1026','23.04.2019','19'
'1301','Sentrumsgården-Klepp','58.7753029','5.6288814','Bio','334','2266','16.04.2019',' '
'1329','Sentrumsgården-Klepp','58.7753029','5.6288814','Restavfall','75','1135','23.04.2019','19'
'1305','Sentrumsgården-Klepp','58.7753029','5.6288814','Restavfall','120','825','23.04.2019','19'
'1739','Serigstadgården','58.7360878','5.6498465','Restavfall','4','1628','23.04.2019','19'
'1325','Serigstadgården','58.7360878','5.6498465','Papir','3','1935','23.04.2019','19'
'1160','Serigstadgården','58.7360878','5.6498465','Papir','7','2223','23.04.2019',' '
'1707','Serigstadgården','58.7360878','5.6498465','Glass/metall','3','1274','23.04.2019','19'
'2380','Serigstadgården','58.7360878','5.6498465','Glass/metall','0','2166','27.03.2019','19'
'1806','Serigstadgården','58.7360878','5.6498465','Bio','25','1842','23.04.2019','1'
'1800','Serigstadgården','58.7360878','5.6498465','Restavfall','32','1998','23.04.2019','1'
'1821','Serigstadgården','58.7360878','5.6498465','Restavfall','10','1498','23.04.2019','1'
'2135','Sirevåg terrasse','58.5003083','5.8021300','Papir','132','1442','23.04.2019','1'
'3010','Sirevåg terrasse','58.5003083','5.8021300','Restavfall','259','0','23.04.2019','19'
'3835','Sirevåg terrasse','58.5003083','5.8021300','Bio','168','1742','22.04.2019',' '
'2205','Sirevåg terrasse','58.5003083','5.8021300','Glass/metall','25','993','23.04.2019','1'
'3851','Siriskjær - 1','58.9679306','5.7600284','Glass/metall','34','1972','23.04.2019','11'
'521','Siriskjær - 1','58.9679306','5.7600284','Restavfall','125','2048','23.04.2019','1'
'506','Siriskjær - 2','58.9677506','5.7598127','Bio','12','0','23.04.2019','17'
'2447','Siriskjær - 2','58.9677506','5.7598127','Restavfall','142','2033','23.04.2019','19'
'2334','Siriskjær - 2','58.9677506','5.7598127','Papir','15','1583','23.04.2019','17'
'962','Siriskjær-1','58.9679306','5.7600284','Papir','0','1342','23.04.2019','17'
'3864','SiS studentb.Bjergsted',,,'Restavfall','4','1733','22.04.2019','12'
'2616','SiS studentb.Bjergsted','58.9759000','5.7172850','Bio','0','1267','23.04.2019','21'
'2693','SiS studentb.Bjergsted','58.9759000','5.7172850','Papir','0','1456','23.04.2019','21'
'2664','SiS studentb.Bjergsted','58.9759000','5.7172850','Restavfall','0','1385','05.04.2019','21'
'2378','Sjøpanorama-Sjøveien','58.8838883','5.7474800','Restavfall','199','1996','23.04.2019','1'
'3691','Sjøpanorama-Sjøveien','58.8838883','5.7474800','Papir','49','588','12.04.2019',' '
'2421','Sjøpanorama-Sjøveien','58.8838883','5.7474800','Bio','42','2301','17.04.2019','23'
'2025','Skaarlia Skaratoppen - 1','58.8397867','5.7732267','Restavfall','72','1073','23.04.2019','21'
'2033','Skaarlia Skaratoppen - 1','58.8397867','5.7732267','Papir','9','1664','23.04.2019','23'
'3675','Skaarlia Skaratoppen - 1','58.8397867','5.7732267','Bio','99','195','22.04.2019',' '
'2455','Skaarlia-Skaratoppen - 2','58.8402062','5.7744532','Papir','83','1666','23.04.2019','21'
'1976','Skaarlia-Skaratoppen - 2','58.8402062','5.7744532','Glass/metall','46','2113','20.04.2019','1'
'2201','Skaarlia-Skaratoppen - 2','58.8402062','5.7744532','Restavfall','96','1059','23.04.2019','21'
'3536','Skaarlia-Skaratoppen - 2','58.8402062','5.7744532','Bio','115','2301','23.04.2019','29'
'3438','Skadberg skole','58.8836077','5.6691150','Rest-næring','3','2138','23.04.2019','17'
'1448','Skadberg skole','58.8836077','5.6691150','Bio-næring','12','2223','22.04.2019','15'
'2089','Skadberg skole','58.8836077','5.6691150','Papir-næring','31','1726','21.04.2019','1'
'1266','Skadbergbakken-1 (S5)','58.8852917','5.6694233','Restavfall','0','2016','23.04.2019','17'
'1157','Skadbergbakken-1 (S5)','58.8852917','5.6694233','Papir','0','1603','23.04.2019','17'
'2853','Skadbergbakken-1 (S5)','58.8852917','5.6694233','Glass/metall','0','2235','23.04.2019','19'
